modzcta_first,NUM_PEOP_TEST,NUM_PEOP_POS,PERCENT_POSITIVE,TEST_RATE
10001,6473,1073,0.166,27471.001
10002,14451,2626,0.182,18827.337
10003,12042,1892,0.157,22382.225
10004,908,125,0.138,24872.583
10005,2022,328,0.162,24082.59
10006,875,130,0.149,25305.317
10007,2105,286,0.136,25515.986
10009,12534,2131,0.17,21335.197
10010,7634,1116,0.146,23582.21
10011,13376,2036,0.152,27021.939
10012,5225,758,0.145,21787.899
10013,6664,832,0.125,22954.7
10014,8049,1169,0.145,25928.419
10016,12504,1918,0.153,23806.102
10017,4459,604,0.135,27648.909
10018,3827,557,0.146,40151.332
10019,11955,2015,0.169,29423.024
10021,12425,1668,0.134,28126.382
10022,8735,1167,0.134,28795.31
10023,15027,1937,0.129,24930.814
10024,14328,2137,0.149,24988.804
10025,19576,3338,0.171,21201.413
10026,6675,1513,0.227,17107.476
10027,10209,2382,0.233,16044.058
10028,11946,1671,0.14,24302.678
10029,12074,3154,0.261,15314.266
10030,4349,1176,0.27,14831.912
10031,12264,4105,0.335,20252.017
10032,11473,3961,0.345,18657.539
10033,11775,4070,0.346,19886.698
10034,8444,2819,0.334,19603.633
10035,5675,1632,0.288,16484.321
10036,7718,1551,0.201,29445.368
10037,3921,1062,0.271,18988.24
10038,4618,678,0.147,20945.248
10039,4213,1205,0.286,15923.641
10040,8642,2956,0.342,19286.616
10044,2089,382,0.183,17854.258
10065,7962,1031,0.129,27397.08
10069,1550,207,0.134,24455.165
10075,6715,976,0.145,28412.293
10128,15199,1994,0.131,24773.466
10280,1741,227,0.13,18100.166
10282,1147,145,0.126,20796.163
10301,6247,1365,0.219,15769.856
10302,2390,669,0.28,12730.382
10303,3229,842,0.261,12309.555
10304,6609,1435,0.217,15569.377
10305,7639,1483,0.194,17948.362
10306,11365,2172,0.191,21169.526
10307,2932,532,0.181,19271.013
10308,5433,902,0.166,18332.848
10309,6835,1234,0.181,20708.996
10310,5680,1274,0.224,23794.605
10312,12247,2195,0.179,20308.657
10314,16843,3751,0.223,18542.557
10451,7473,2606,0.349,15660.503
10452,10822,4363,0.403,14048.153
10453,10441,4163,0.399,12860.903
10454,4517,1676,0.371,11817.364
10455,5595,1975,0.353,13266.349
10456,10968,4181,0.381,11737.774
10457,9364,3591,0.383,12537.983
10458,9290,3370,0.363,11084.895
10459,7101,2641,0.372,14685.275
10460,7660,2645,0.345,12751.099
10461,9264,2418,0.261,18722.881
10462,12237,3480,0.284,15823.896
10463,12454,3388,0.272,17470.145
10464,807,160,0.198,18538.262
10465,7458,1806,0.242,17331.921
10466,7494,2729,0.364,10384.298
10467,12868,4472,0.348,12767.893
10468,11332,4545,0.401,14778.084
10469,8941,3011,0.337,12503.452
10470,2106,585,0.278,14932.194
10471,4457,927,0.208,20976.807
10472,8094,2999,0.371,11918.025
10473,8582,2614,0.305,13858.638
10474,1214,453,0.373,9760.358
10475,5706,1720,0.301,13044.311
11004,4277,855,0.2,22800.265
11101,9246,1871,0.202,26263.978
11102,7409,1863,0.251,22704.067
11103,8026,1896,0.236,21937.563
11104,6397,1501,0.235,25819.654
11105,8276,1604,0.194,23056.213
11106,8069,1895,0.235,20869.325
11109,1503,185,0.123,29641.214
11201,15613,2209,0.141,25633.68
11203,10010,3743,0.374,13639.01
11204,16740,6324,0.378,21103.736
11205,8644,2708,0.313,19639.559
11206,15910,5324,0.335,18608.924
11207,10932,3640,0.333,12261.551
11208,11890,4507,0.379,12436.238
11209,14901,2929,0.197,22213.404
11210,11969,4178,0.349,17840.402
11211,24902,8302,0.333,25003.346
11212,8959,3240,0.362,11256.44
11213,12189,4845,0.397,18919.398
11214,15046,3310,0.22,16120.692
11215,15424,2068,0.134,22055.617
11216,9777,1994,0.204,17604.253
11217,9498,1557,0.164,20005.617
11218,16648,5747,0.345,21961.187
11219,23141,11115,0.48,24920.827
11220,15977,4297,0.269,16228.543
11221,13099,3336,0.255,16038.458
11222,9655,1574,0.163,26561.822
11223,14382,3739,0.26,17987.143
11224,8245,1771,0.215,18533.361
11225,10789,3261,0.302,18694.718
11226,13860,4412,0.318,13991.333
11228,7447,1382,0.186,16842.669
11229,16367,3890,0.238,19275.895
11230,20704,7033,0.34,23219.671
11231,8426,1261,0.15,22776.234
11232,4743,1531,0.323,16776.856
11233,8172,2205,0.27,11327.104
11234,17186,4697,0.273,18032.669
11235,16850,3546,0.21,21184.274
11236,13131,4856,0.37,13558.5
11237,9050,3129,0.346,17851.605
11238,12584,2180,0.173,23296.889
11239,2741,782,0.285,22081.038
11354,9911,1798,0.181,17851.766
11355,15676,2584,0.165,19591.578
11356,4169,1105,0.265,17875.258
11357,8479,1577,0.186,21210.457
11358,6976,1289,0.185,19627.758
11360,4159,677,0.163,22048.256
11361,5313,897,0.169,18993.998
11362,3544,517,0.146,19979.693
11363,1498,229,0.153,20924.616
11364,6421,978,0.152,18577.886
11365,8207,1590,0.194,18630.766
11366,2802,670,0.239,20337.674
11367,9229,2732,0.296,21953.3
11368,22894,12062,0.527,20515.421
11369,7358,3432,0.466,20179.788
11370,6013,2052,0.341,18355.456
11372,15882,6522,0.411,25385.661
11373,20734,7823,0.377,22324.434
11374,10428,2669,0.256,24800.448
11375,15523,3181,0.205,22001.903
11377,17968,5944,0.331,20779.809
11378,7120,1992,0.28,20581.929
11379,7386,1662,0.225,20405.822
11385,18211,5323,0.292,17692.623
11411,2980,926,0.311,14540.658
11412,5089,1747,0.343,12933.669
11413,5854,1980,0.338,13411.85
11414,5613,1208,0.215,19858.091
11415,4357,1155,0.265,22652.302
11416,4036,1290,0.32,15164.711
11417,5410,1640,0.303,17300.578
11418,6978,2265,0.325,18312.479
11419,6655,2058,0.309,13087.82
11420,6362,1921,0.302,13140.362
11421,7291,2441,0.335,17273.368
11422,4294,1323,0.308,12733.671
11423,5107,1674,0.328,15938.883
11426,3519,742,0.211,17281.104
11427,4798,1312,0.273,20670.007
11428,3327,934,0.281,17213.859
11429,4021,1387,0.345,14342.107
11432,11882,3890,0.327,18802
11433,4622,1586,0.343,12826.148
11434,8951,2853,0.319,13253.651
11435,9145,2999,0.328,15859.16
11436,2356,738,0.313,11322.882
11691,9688,3419,0.353,14960.078
11692,2483,805,0.324,12340.808
11693,1991,469,0.236,16080.735
11694,4453,1108,0.249,21875.851
11697,1811,282,0.156,51206.075